event,reserve_code,station,station_name,parameter,min,max,mean,median
Matthew,del,delblwq,Blackbird Landing (BL),clevel,-1.476378,2.3293964,0.929170532635253,1.148294
Matthew,del,deldswq,Division Street (DS),clevel,2.296588,3.0183728,2.48754090401396,2.3622048
Matthew,del,delllwq,Lebanon Landing (LL),clevel,-0.4593176,1.9028872,1.01660234205934,1.1154856
Matthew,del,delslwq,Scotton Landing (SL),clevel,-1.0498688,2.3950132,0.922643206980803,1.0498688
Matthew,del,delblwq,Blackbird Landing (BL),do_mgl,3.1,7.8,6.02705061082024,6.1
Matthew,del,deldswq,Division Street (DS),do_mgl,5.9,9.4,7.28167539267016,6.7
Matthew,del,delllwq,Lebanon Landing (LL),do_mgl,2.9,8.5,5.40034904013962,5
Matthew,del,delslwq,Scotton Landing (SL),do_mgl,3.1,8.1,4.98097731239092,5.1
Matthew,del,delblwq,Blackbird Landing (BL),do_pct,34.1,79.3,64.1122164048866,64.9
Matthew,del,deldswq,Division Street (DS),do_pct,64,97.6,77.0244328097731,73
Matthew,del,delllwq,Lebanon Landing (LL),do_pct,32.8,87.3,56.9387434554974,55.4
Matthew,del,delslwq,Scotton Landing (SL),do_pct,34,91.6,54.2984293193717,54
Matthew,del,delblwq,Blackbird Landing (BL),level,-1.2139108,2.8215224,1.24328376544503,1.4435696
Matthew,del,deldswq,Division Street (DS),level,2.3293964,3.4776904,2.80165413682373,2.7230972
Matthew,del,delllwq,Lebanon Landing (LL),level,-0.164042,2.3622048,1.33071557486911,1.4107612
Matthew,del,delslwq,Scotton Landing (SL),level,-0.7545932,2.8215224,1.23675643979058,1.3451444
Matthew,del,delblwq,Blackbird Landing (BL),ph,6.6,7.2,6.93926701570681,7
Matthew,del,deldswq,Division Street (DS),ph,6.4,7.1,6.6696335078534,6.6
Matthew,del,delllwq,Lebanon Landing (LL),ph,6.6,7,6.79842931937173,6.8
Matthew,del,delslwq,Scotton Landing (SL),ph,6.8,7.7,6.97853403141361,7
Matthew,del,delblwq,Blackbird Landing (BL),sal,0.1,4.4,1.79668411867365,1.8
Matthew,del,deldswq,Division Street (DS),sal,0.1,0.1,0.1,0.1
Matthew,del,delllwq,Lebanon Landing (LL),sal,0.1,5,0.949738219895288,0.6
Matthew,del,delslwq,Scotton Landing (SL),sal,0.5,17.6,5.7630017452007,4.6
Matthew,del,delblwq,Blackbird Landing (BL),spcond,0.2,7.87,3.34727748691099,3.32
Matthew,del,deldswq,Division Street (DS),spcond,0.11,0.14,0.128760907504363,0.13
Matthew,del,delllwq,Lebanon Landing (LL),spcond,0.3,8.84,1.80774869109948,1.12
Matthew,del,delslwq,Scotton Landing (SL),spcond,1.06,28.53,9.97102966841187,8.22
Matthew,del,delblwq,Blackbird Landing (BL),temp,57.92,69.98,64.5583246073298,66.02
Matthew,del,deldswq,Division Street (DS),temp,59.18,69.08,65.0040837696335,66.56
Matthew,del,delllwq,Lebanon Landing (LL),temp,58.82,68.72,64.6509947643979,66.56
Matthew,del,delslwq,Scotton Landing (SL),temp,58.46,68,64.5309947643979,66.2
Matthew,del,delblwq,Blackbird Landing (BL),turb,27,889,57.256993006993,55
Matthew,del,deldswq,Division Street (DS),turb,6,61,7.45549738219895,7
Matthew,del,delllwq,Lebanon Landing (LL),turb,15,252,52.3601398601399,43
Matthew,del,delslwq,Scotton Landing (SL),turb,13,701,41.694589877836,34
